[2025-07-21 10:58:09.100] Query: BBOX(56.2599,56.4599,61.9829,62.1829), Zoom: 12, Rows: 1000, SQL Time: 44ms, Total Time: 46ms
[2025-07-21 10:58:09.151] Query: BBOX(56.2614,56.4614,61.9782,62.1782), Zoom: 12, Rows: 1000, SQL Time: 39ms, Total Time: 43ms
[2025-07-21 10:58:09.201] Query: BBOX(56.2626,56.4626,61.9816,62.1816), Zoom: 12, Rows: 1000, SQL Time: 40ms, Total Time: 43ms
[2025-07-21 10:58:09.955] Query: BBOX(56.2626,56.4626,61.9811,62.1811), Zoom: 12, Rows: 1000, SQL Time: 74ms, Total Time: 87ms
[2025-07-21 10:58:09.991] Query: BBOX(56.2639,56.4639,61.958,62.158), Zoom: 12, Rows: 1000, SQL Time: 23ms, Total Time: 28ms
[2025-07-21 10:58:10.022] Query: BBOX(56.265,56.465,61.9453,62.1453), Zoom: 12, Rows: 1000, SQL Time: 20ms, Total Time: 23ms
[2025-07-21 10:58:10.052] Query: BBOX(56.2655,56.4655,61.9376,62.1376), Zoom: 12, Rows: 1000, SQL Time: 18ms, Total Time: 23ms
[2025-07-21 10:58:10.076] Query: BBOX(56.2659,56.4659,61.9318,62.1318), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 17ms
[2025-07-21 10:58:10.100] Query: BBOX(56.2665,56.4665,61.9235,62.1236), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 17ms
[2025-07-21 10:58:10.123] Query: BBOX(56.2672,56.4672,61.918,62.118), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 16ms
[2025-07-21 10:58:10.150] Query: BBOX(56.2681,56.4681,61.9053,62.1053), Zoom: 12, Rows: 1000, SQL Time: 14ms, Total Time: 17ms
[2025-07-21 10:58:10.174] Query: BBOX(56.2688,56.4688,61.8931,62.0931), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 17ms
[2025-07-21 10:58:10.198] Query: BBOX(56.2696,56.4696,61.8778,62.0778), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 16ms
[2025-07-21 10:58:10.223] Query: BBOX(56.2702,56.4702,61.8633,62.0633), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 16ms
[2025-07-21 10:58:10.248] Query: BBOX(56.2708,56.4708,61.852,62.052), Zoom: 12, Rows: 1000, SQL Time: 12ms, Total Time: 16ms
[2025-07-21 10:58:10.272] Query: BBOX(56.2714,56.4714,61.8406,62.0406), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 17ms
[2025-07-21 10:58:10.296] Query: BBOX(56.2716,56.4716,61.8302,62.0302), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 16ms
[2025-07-21 10:58:10.321] Query: BBOX(56.2719,56.4719,61.8206,62.0206), Zoom: 12, Rows: 1000, SQL Time: 12ms, Total Time: 17ms
[2025-07-21 10:58:10.347] Query: BBOX(56.2719,56.4719,61.812,62.012), Zoom: 12, Rows: 1000, SQL Time: 12ms, Total Time: 16ms
[2025-07-21 10:58:10.372] Query: BBOX(56.2722,56.4722,61.8037,62.0037), Zoom: 12, Rows: 1000, SQL Time: 12ms, Total Time: 18ms
[2025-07-21 10:58:10.396] Query: BBOX(56.2725,56.4725,61.7873,61.9873), Zoom: 12, Rows: 1000, SQL Time: 13ms, Total Time: 16ms
[2025-07-21 10:58:10.419] Query: BBOX(56.2725,56.4725,61.7719,61.9719), Zoom: 12, Rows: 1000, SQL Time: 12ms, Total Time: 16ms
